ParcelNumber,CurrentAssessedValue,OBJECTID,st_number,st_name,st_unit,LEGALDESCR,LOTSQFT
060018100,1006400,36586205,1849,FENDALL AVE,,LOTS 10 & 11 BK 4 RUGBY,14984.64
060027000,1602300,36586206,1905,FENDALL AVE,,LOT 14 & PT 13 & STR BK 3 RUGB,11499.84
060043000,948000,36586207,1879,WAYSIDE PL,,LOT,20952.36
060028000,747300,36586208,1902,FENDALL AVE,,"LOT 12,PT 11&13 BK 3 RUGBY",15115.32
060017000,932200,36586209,1845,FENDALL AVE,,LOTS 12 & 13 BK 4 RUGBY,14984.64
060013000,781900,36586210,1840,WINSTON RD,,PT LOTS 29 & 30 BK 4 RUGBY,11064.24
060073000,12017900,36586211,83-136,UNIVERSITY GARDENS,,LOTS 8-11 & STRIP,0
060014000,840600,36586212,809,WINSTON TER,,LOT 31 & PT 30 BK 4 RUGBY,13155.12
060044000,896700,36586213,1864,EDGEWOOD LN,,LOT 2 & PT 3 EDGEWOOD LANE,13416.48
060029000,903200,36586214,1850,FENDALL AVE,,LOT 10 & PT 11 BK 3 RUGBY,14461.92
060016000,658700,36586215,1841,FENDALL AVE,,LOTS 35 & 36 BK 4 RUGBY,14984.64
060045000,1037500,36586216,1862,EDGEWOOD LN,,PT LOT 3 EDGEWOOD LANE,13503.6
060015000,856300,36586217,1837,FENDALL AVE,,LOTS 33 & 34 BK 4 RUGBY,16988.4
060030000,944300,36586218,1848,FENDALL AVE,,LOTS 8 & 9 BK 3 RUGBY,16988.4
060040000,621900,36586219,1900,EDGEWOOD LN,,LOT 22 BK 3 EDGEWOOD LANE,9801
060044100,1112700,36586220,1875,WAYSIDE PL,,LOT,11412.72
050001000,626300,36586221,808,WINSTON TER,,LOT X BK 2 RUGBY,10454.4
060046000,971500,36586222,1856,EDGEWOOD LN,,LOT 4 & PT 5 EDGEWOOD LANE,19471.32
060031000,866300,36586223,1844,FENDALL AVE,,LOT 7 & PT 6 BK 3 RUGBY,12763.08
060015100,774400,36586224,1833,FENDALL AVE,,LOT 32 BK 4 RUGBY,11238.48
060060000,960400,36586225,1874,WAYSIDE PL,,LOT C & LOT WAYSIDE PLACE,19035.72
050002000,846100,36586226,1828,WINSTON RD,,"LOTS Y,D,PARCEL W BK 2 RUGBY",15942.96
060032000,943100,36586227,1840,FENDALL AVE,,LOT 5 & PT 6 BK 3 RUGBY,12850.2
060059000,785700,36586228,1871,WAYSIDE PL,,LOT 16 WAYSIDE PLACE,12545.28
050003000,775200,36586229,1824,WINSTON RD,,"LOT C,PT 8,STRIP BK 2 RUGBY",18077.4
050021000,823600,36586230,1827,FENDALL AVE,,LOT B RUGBY,13155.12
060033000,973200,36586231,1838,FENDALL AVE,,LOTS 3 & 4 BK 3 RUGBY,16988.4
060039000,898900,36586232,1847,EDGEWOOD LN,,LOT 21 EDGEWOOD LANE,9931.68
060047000,952900,36586233,1852,EDGEWOOD LN,,LOTS 5A & 6B EDGEWOOD LANE,15638.04
060058000,901100,36586234,1863,WAYSIDE PL,,LOT 14 WAYSIDE PLACE,12501.72
060034000,992500,36586235,1834,FENDALL AVE,,LOTS 1 & 2 BK 3 RUGBY,17511.12
050004000,223300,36586236,0,WINSTON RD,,PT LOT 7 & PAR X BK 2 RUGBY,13285.8
060061000,943800,36586237,1870,WAYSIDE PL,,LOT 45 WAYSIDE PLACE,12109.68
060038000,1500600,36586238,1843,EDGEWOOD LN,,LOT 20 BK 3 EDGEWOOD LANE,10628.64
050020000,210100,36586239,0,FENDALL AVE,,LOT A RUGBY,10280.16
050005000,439200,36586240,1818,WINSTON RD,,"LOT 6,PT LOT 5&7 BK 2 RUGBY",13285.8
060057000,1067400,36586241,1859,WAYSIDE PL,,LOT 12 & PT 10 WAYSIDE PLACE,13547.16
060072000,100700,36586242,0,UNIVERSITY CIR,,LOT 45 UNIVERSITY PLACE,49353.48
050019000,405700,36586243,1820,RUGBY PL,,LOT 6 RUGBY,17946.72
050022100,894600,36586244,1830,FENDALL AVE,,LOTS 4 & 5 RUGBY,16814.16
060037000,868100,36586245,1839,EDGEWOOD LN,,LOT 19 BK 3 EDGEWOOD LANE,11412.72
060062000,944200,36586246,1864,WAYSIDE PL,,LOT 15 WAYSIDE PLACE,11499.84
050006000,1086100,36586247,1816,WINSTON RD,,LOT 4 & PT 5 BK 2 RUGBY,23391.72
050022000,688800,36586248,1826,FENDALL AVE,,LOT 3 RUGBY,8668.44
060048000,997800,36586249,1844,EDGEWOOD LN,,LOTS 6A & 7A EDGEWOOD LANE,16596.36
060056000,1210600,36586250,1851,WAYSIDE PL,,PT LOTS 8 & 10 SEC 6,19209.96
060036000,1271800,36586251,1872,EDGEWOOD LN,,LOT 18 EDGEWOOD LANE,12109.68
050018000,1135300,36586252,1817,FENDALL AVE,,LOTS 5 & 6 RUGBY,31450.32
050023000,1275400,36586253,1820,FENDALL AVE,,"LOTS 1,2 & TRI LOT",16683.48
060063000,1588100,36586254,1852,WAYSIDE PL,,LOTS A & B WAYSIDE PLACE,30056.4
050147000,1480100,36586255,924,RUGBY RD,,LOT 1,19994.04
050009000,606100,36586256,1810,WINSTON RD,,LOT 3 BK 2 RUGBY,12371.04
060049000,841700,36586257,1840,EDGEWOOD LN,,LOT 8 EDGEWOOD LANE,12893.76
050007000,595600,36586258,1815,RUGBY PL,,LOT 7 RUGBY PLACE,7230.96
060035000,1198200,36586259,1827,EDGEWOOD LN,,LOT 17 BK 3 EDGEWOOD LANE,12806.64
070001900,618300,36586260,0,IVY RD,,"LOTS 4,5,6&7 UNIV SHOP CEN",9278.28
050010000,662000,36586261,1808,WINSTON RD,,LOT 2 BK 2 RUGBY,12545.28
050147100,1784700,36586262,922,RUGBY RD,,LOT 1A,15986.52
